mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,zcr,centroid,num_onsets,mean_interval,label
-339.40323,27.73083,-32.220238,25.301691,-20.933619,20.132048,-11.041375,15.373516,-11.061257,13.715918,-23.911482,14.8453455,-3.2545407,0.018855466,0.2612767269736842,3347.2437177701804,11,0.1764716553287982,1
-275.18552,24.762894,-33.739815,35.165573,-31.666119,6.117879,-6.531917,21.904377,-4.7304373,18.475922,-34.727352,8.94117,-8.746407,0.021744203,0.29295333059210527,3904.3769755361172,14,0.1482504796790511,1
-298.10355,32.335037,-32.7162,29.178593,-21.436708,27.783773,-6.0605345,16.42313,-9.547795,16.796164,-27.389095,14.719552,-3.5070622,0.02194775,0.2762438322368421,3646.826013325525,11,0.18808163265306124,1
-272.88263,18.489847,-33.967934,35.105824,-23.200306,24.279003,-11.244386,17.712637,-8.885525,16.921427,-27.088306,14.586291,-5.5968275,0.024458993,0.3143349095394737,3936.3964134729313,14,0.1428920286063143,1
-348.00003,27.274231,-27.971378,32.416023,-20.166748,21.632124,-12.401181,12.798067,-11.386682,16.03112,-26.323818,15.394076,-3.1673243,0.018682444,0.2700400904605263,3471.1524045951346,11,0.16718367346938773,1
-268.76724,19.66887,-34.415894,35.21488,-24.66959,25.133451,-8.233766,15.939564,-11.420536,16.57664,-28.645922,15.114043,-3.5472395,0.024988266,0.29732730263157897,3917.625298889591,14,0.1428920286063143,1
-257.2191,37.08373,-26.337767,40.744614,-23.601284,25.060333,-6.3320184,20.518423,-15.029411,16.21448,-28.926542,15.327687,-4.222283,0.022967296,0.2612047697368421,3770.2397101210977,12,0.168872397443826,1
-279.65298,25.383812,-32.406643,40.636856,-21.097773,25.771534,-10.765262,15.4054365,-12.997503,19.168884,-30.466825,14.302693,-1.5275695,0.021632824,0.3094263980263158,3934.218369082383,13,0.14318972033257746,1
-310.81094,14.177561,-32.08817,37.623684,-15.720682,22.515491,-14.485987,12.502387,-8.681926,17.719265,-25.203901,11.7911005,-6.6463056,0.02147587,0.27880859375,3688.7649206129677,11,0.17182766439909297,1
-267.9703,26.17702,-32.996853,35.165916,-19.248766,26.151897,-10.479419,17.270195,-11.973137,17.317074,-26.523275,13.7849455,-6.367668,0.02320336,0.30905119243421053,3912.522052256047,13,0.17221466364323504,1
