mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,zcr,centroid,bandwidth,rolloff,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,mel_1,mel_2,mel_3,mel_4,mel_5,mel_6,mel_7,mel_8,mel_9,mel_10,mel_11,mel_12,mel_13,mel_14,mel_15,mel_16,mel_17,mel_18,mel_19,mel_20,label
-367.02008,43.958675,-26.504309,26.720621,-17.721006,18.633678,-10.652032,14.830117,-11.798079,12.644734,-22.389812,13.067722,-2.9227538,0.016420463,0.22866962139423078,3095.311826341311,2120.373725477519,5575.774489182692,0.69248503,0.59764075,0.4747946,0.38220406,0.36290485,0.3396615,0.37496063,0.44183528,0.48844355,0.4971696,0.55707026,0.70718396,-0.005535278463570925,-0.017088245984127785,0.034577829104202984,-0.04710945091568557,-0.004284042870846797,0.0052653371356428166,0.001988356,0.003914535,0.019228386,0.025083762,0.019273058,0.016494177,0.013899425,0.01197602,0.009453759,0.008388646,0.0071677035,0.006683954,0.0075502354,0.006518581,0.0070132767,0.006930843,0.006599075,0.0049293307,0.01080628,0.015176911,1
-335.1996,53.3833,-23.542908,32.8994,-26.97563,7.39821,-6.1291523,19.10281,-5.2042723,16.979498,-29.454262,7.3531547,-7.8231306,0.01717778,0.22892503004807693,3268.205463882956,2214.1849997390204,5763.113356370192,0.61642706,0.45420575,0.3894501,0.30726972,0.27155963,0.27614814,0.34788063,0.4255099,0.40553632,0.4780845,0.69137853,0.70356953,0.05444058201857481,0.03778119043580647,0.02610741790670574,-0.09638208420230839,0.002135807490261701,-0.00244148376469418,0.0038865714,0.005049684,0.016130092,0.0293115,0.027273105,0.025143921,0.023111692,0.01894726,0.010533166,0.011243105,0.009928743,0.0085806595,0.008961936,0.0076102824,0.0087250145,0.0074884295,0.0070391507,0.0051680533,0.0055949455,0.004924496,1
-349.07706,50.96986,-23.642866,29.392347,-16.749222,24.873783,-6.4934087,14.610174,-9.737254,14.677395,-23.964966,12.938137,-3.3327763,0.017464494,0.2295447716346154,3221.989920283251,2228.231530789705,5807.918982872596,0.75402284,0.7410849,0.5592301,0.34341103,0.28421023,0.31353253,0.36151946,0.40363243,0.4365861,0.47079295,0.5245043,0.6538708,0.023290453394181652,-0.04361909815703394,-0.04627926015796632,0.0104814382126693,0.026650840767930454,-0.009660494288143,0.039672427,0.046125866,0.08051106,0.09416958,0.09135106,0.064169854,0.048489437,0.039722174,0.027712833,0.03111479,0.019644987,0.016076133,0.013796785,0.008605079,0.00927063,0.0067195306,0.0064687314,0.0074541485,0.0097358525,0.007565231,1
-315.80417,42.68133,-24.066256,31.15927,-18.414433,22.065912,-8.871117,15.099189,-7.995333,15.054349,-23.959026,11.497479,-4.3924356,0.020740697,0.25211087740384613,3406.272354048575,2210.9351589022276,5971.819786658654,0.7448276,0.5827788,0.37086195,0.28812125,0.2882209,0.29168797,0.3546814,0.46963924,0.47947997,0.46227387,0.56665653,0.7308691,0.03747360178789558,-0.02635352948609484,0.01524214985278888,-0.0021578114623065255,0.011795715969672382,-0.014799763154811537,0.58968425,0.52780724,0.5820648,0.71839046,0.6059158,0.38703844,0.3309145,0.27213544,0.2097095,0.19178757,0.1532712,0.12868291,0.117179535,0.102490164,0.09704507,0.07772235,0.063119136,0.04841486,0.039929505,0.038356747,1
-366.4486,41.561615,-22.984957,31.493643,-19.495346,20.216286,-12.070145,12.459446,-12.169447,14.7197075,-24.731817,12.85049,-3.5850046,0.016742876,0.24165790264423076,3242.597879933718,2129.6603545645626,5740.337853064904,0.67930436,0.5621748,0.40855333,0.2756514,0.29163563,0.3165782,0.34879303,0.46417376,0.5194479,0.50557065,0.6062976,0.68471724,0.016698596617420586,-0.025848754757951477,0.012357488661430832,-0.03112848699092912,-0.004762347874821793,-0.008937427100653787,0.0039711036,0.0053380113,0.015679115,0.021774478,0.026908895,0.02070466,0.017906578,0.02041056,0.011500949,0.011738574,0.009999745,0.00805183,0.007663087,0.0061649987,0.0064507094,0.0070006517,0.006773789,0.005402596,0.006188476,0.0058081755,1
-320.6454,44.282436,-23.530201,37.44317,-19.156311,22.368204,-7.8752713,15.628127,-10.853003,14.886553,-26.027042,11.229337,-4.299767,0.019580962,0.23814978966346154,3362.622281358863,2187.37375243107,5844.856708233173,0.72398925,0.6285548,0.5148666,0.36523727,0.33487827,0.28632215,0.27425978,0.39487395,0.49428418,0.53325516,0.60324574,0.7420371,0.002752435030451736,0.0024825918732595538,0.03357144097009484,-0.030369788752152856,0.00974740139584361,0.006450767596610543,0.013334339,0.016359393,0.031797443,0.05825272,0.07126713,0.051695954,0.028490258,0.0335782,0.019324291,0.025567675,0.017400157,0.011991101,0.014313304,0.008562752,0.00999346,0.0065048034,0.007530622,0.00654626,0.0060058106,0.006121384,1
-329.08148,63.928658,-14.7437315,38.527756,-17.861326,22.110561,-4.9844875,17.634455,-13.506402,15.4847,-24.318113,11.106758,-4.821023,0.017647576,0.19979717548076922,3086.41543768521,2242.415598951184,5542.232384314904,0.5802889,0.5964971,0.49697876,0.34505582,0.29531044,0.30022335,0.44089094,0.58066124,0.5529944,0.4912274,0.58209467,0.60970366,0.008286130129997864,0.005710576694501321,0.08772030491381863,-0.09044672408356139,0.0037712339422429713,-0.014253164559172833,0.0024269347,0.04743069,0.20107287,0.07649542,0.101200625,0.12569742,0.055976786,0.05849511,0.033743806,0.039605696,0.023745382,0.009735153,0.011916946,0.013778871,0.021830514,0.012253191,0.013317064,0.01408893,0.010708653,0.00735646,1
-322.57208,42.248913,-23.628557,39.693367,-17.530321,23.509611,-9.746271,14.098129,-12.735406,17.487158,-26.778177,11.234561,-2.9034357,0.019015914,0.2633451021634615,3503.706447762501,2259.349870113813,6113.524827223558,0.65078473,0.5246397,0.38741153,0.28440556,0.28307283,0.273685,0.3408787,0.47422704,0.5004636,0.527704,0.64609146,0.7840759,0.0353959264825871,-0.05956312574940656,-0.013768143837269053,-0.0004439694520377488,0.027610718422330222,-0.01879799166837562,0.003092681,0.0056401305,0.030979259,0.036656134,0.03470031,0.025607534,0.025560936,0.020457035,0.014242314,0.013721147,0.011316382,0.008296253,0.009103414,0.0067167003,0.0063715256,0.006567255,0.005557517,0.0042473334,0.007658247,0.009260006,1
-353.5869,39.245403,-23.125162,36.236702,-13.127663,20.9408,-13.204528,11.268741,-9.069099,16.434292,-23.108263,10.126684,-6.758262,0.01821193,0.23062650240384616,3239.6510429505965,2094.7004521655776,5643.9353590745195,0.67368585,0.6266142,0.4859506,0.3332248,0.28564608,0.29520667,0.32426518,0.45666072,0.5009137,0.48222315,0.49393493,0.6219392,0.04622065158588817,0.013793254774662606,0.022088042675302046,-0.014814636526773148,0.02908612310651453,-0.019113278507183282,0.04612901,0.04581478,0.06692159,0.0745853,0.06288597,0.044552524,0.06445572,0.06450427,0.029849533,0.025228875,0.018642407,0.012095757,0.010572056,0.009759404,0.012000981,0.009426249,0.0062611913,0.006840472,0.010033239,0.00942761,1
-324.59592,52.111908,-18.132103,32.514603,-13.398645,20.644535,-7.0572276,12.943066,-9.891384,13.771486,-21.744722,10.42593,-5.525646,0.019130208,0.23804837740384616,3247.7552232159696,2253.4419409197358,5784.89501953125,0.7461653,0.6884283,0.50815994,0.43816394,0.4242366,0.3514632,0.39494395,0.51253116,0.53614223,0.5447818,0.6023338,0.7049382,0.018755637188674817,-0.04061966843412703,-0.0312575415063368,0.021807817899836483,0.04032457033709565,-0.019684254471212564,0.49633154,0.5108935,0.63074696,0.6811619,0.6279172,0.42985106,0.32390395,0.27610883,0.21808541,0.19032149,0.15038294,0.13046114,0.11917844,0.09878849,0.08869819,0.07475077,0.0648211,0.04877842,0.039600164,0.037711922,1
