mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spec_mean_1,spec_mean_2,spec_mean_3,spec_mean_4,spec_mean_5,spec_mean_6,spec_mean_7,spec_mean_8,spec_mean_9,spec_mean_10,rolloff,bandwidth,flatness,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,energy,label
-399.6412,12.422851,-33.5018,-3.607668,-10.054206,6.5144067,2.9100175,23.40161,8.61484,7.7443233,-14.27397,-1.0292914,-3.5320776,-37.730206,-31.431059,-31.086727,-29.793396,-28.359333,-27.635994,-22.756216,-20.536371,-23.329336,-25.556782,6055.590049342105,2247.1068543745405,0.29373115,0.5249635,0.40762627,0.30610815,0.23903345,0.22995375,16.03009,1
-375.89514,42.02092,-26.238173,1.1659315,-9.493598,8.2067995,3.5424547,21.729752,6.0859194,4.037609,-11.518578,1.2722678,-3.6502397,-32.308296,-25.129648,-24.265633,-25.101864,-21.754452,-19.4556,-17.531992,-16.67844,-17.574558,-16.098238,6515.493935032895,2636.366269418012,0.13479717,0.74119633,0.6324091,0.5175734,0.41262612,0.39110643,11.4799385,1
-330.16098,20.962364,-34.518112,-3.381612,-12.697662,3.5520077,5.3476267,29.313965,8.1154375,4.671002,-13.22031,-5.415011,-1.6974345,-33.686222,-25.926416,-24.310205,-24.60615,-21.754023,-19.784353,-17.272394,-15.523118,-19.377514,-18.193714,6890.3983347039475,2615.048663978216,0.18753327,0.69361997,0.61368716,0.45404088,0.3360933,0.27914265,18.710445,1
-360.19843,41.925667,-20.832178,5.5648994,-9.701081,9.146404,8.731811,20.026175,2.27478,7.9332476,-9.843024,1.3081146,-1.9954542,-34.230953,-25.805984,-24.15639,-24.612204,-20.665607,-18.724121,-14.23044,-12.02832,-14.678322,-15.702299,6869.658460115132,2700.607613623209,0.14483194,0.7072312,0.6417671,0.48569474,0.44877246,0.43144274,11.145716,1
-329.5485,35.85994,-20.332958,0.3729077,-16.066046,10.165721,15.389981,16.117693,2.8740191,5.9447727,-16.029148,1.3863586,-4.221942,-28.894575,-21.485567,-20.681213,-21.59028,-21.870932,-21.639084,-16.48535,-11.326893,-9.808589,-14.429291,7189.9365234375,2766.140572585748,0.15241566,0.7594125,0.6181392,0.40386063,0.35635507,0.39604303,19.650963,1
-315.63544,33.80655,-32.760674,-10.889964,-17.139446,13.638886,12.299805,20.58348,6.9201937,5.6511283,-8.587142,-1.659003,-0.99771273,-28.611513,-21.456572,-20.094095,-20.239191,-18.994354,-18.085426,-16.00989,-13.845896,-16.198744,-10.845179,6915.558182565789,2733.769287437115,0.14245427,0.75667435,0.51793665,0.386649,0.32623702,0.29625076,34.53663,1
-320.57028,32.93496,-25.583036,-16.789608,-13.384373,13.365086,5.274613,21.882723,7.226068,5.45528,-9.2456665,1.3698657,-4.0957537,-30.040514,-21.160316,-19.129059,-19.546806,-18.649607,-17.811558,-17.921633,-16.605082,-13.384415,-13.960142,7370.475431743421,2843.746173636065,0.1574671,0.8021023,0.68542296,0.47354567,0.41789487,0.3776371,31.573399,1
-355.67316,60.591312,-29.653233,-13.95477,-3.6901968,16.980667,2.9566846,17.05867,6.20026,7.1246853,-7.8441443,-1.2224052,-0.62866145,-36.692604,-30.602463,-27.030449,-24.060143,-18.770452,-12.701929,-11.394143,-14.219585,-16.625845,-18.108576,6219.242393092105,2671.909730254132,0.09596559,0.6842466,0.5267017,0.4449524,0.46353072,0.42842904,19.656683,1
-376.46677,48.800247,-23.601303,-11.01409,-15.010678,8.694451,9.754606,20.88982,5.5345187,4.7135324,-8.679929,0.2757509,-1.0669992,-31.435017,-22.08062,-19.825504,-19.908852,-19.929398,-19.661158,-19.6471,-17.01989,-17.56057,-19.017426,6572.273591694079,2730.82321339473,0.115014255,0.7772363,0.67315924,0.4704027,0.35641223,0.358358,20.114647,1
-313.48724,31.656998,-27.05011,-15.413541,-22.862734,10.036294,13.139387,21.397978,0.31185207,2.7840493,-10.8124485,-0.7088167,-1.9256781,-25.02095,-17.683163,-17.160046,-19.228191,-20.440208,-19.857239,-19.281555,-16.138638,-18.83942,-19.43174,7272.102693256579,2809.505686958177,0.14575773,0.8492165,0.5740469,0.3759152,0.28068495,0.24946153,39.636665,1
-379.50098,43.369553,-19.206121,-5.72303,-15.617239,8.695523,10.340111,20.01807,1.4796119,3.3595738,-9.109925,-1.7183474,-1.5725518,-27.02115,-21.319883,-20.732666,-21.39578,-21.062534,-19.908125,-19.987843,-20.002836,-19.853418,-20.489643,6878.271741365132,2770.2534004429663,0.1303124,0.7790865,0.5555988,0.39498824,0.36598417,0.34261233,22.340359,1
-396.76376,75.80809,-28.128183,-10.601599,-3.4758549,15.125482,7.021115,14.953831,-2.9794486,1.7695872,-3.7164757,1.3951265,-4.997861,-32.17771,-25.21972,-23.98009,-25.393097,-20.695795,-17.98352,-19.397474,-17.53398,-16.297342,-14.720974,5368.9075349506575,2474.3015829502156,0.076717965,0.48740062,0.40766156,0.36945006,0.4189608,0.49852833,14.604806,1
-310.26416,34.67817,-33.173874,-17.003664,-10.843269,13.78388,2.052686,21.614649,3.238663,7.6709433,-9.815444,-0.9294628,-1.5421933,-25.647615,-19.14909,-17.25455,-19.99888,-18.513647,-19.491222,-19.273033,-17.306236,-16.992151,-14.691536,7135.4235197368425,2773.0642549842937,0.14724042,0.61969316,0.5311724,0.47439367,0.4205312,0.40352887,17.472034,1
-386.47195,59.99023,-21.817022,-5.0134816,-6.6743574,12.108437,3.2843375,18.36022,0.29646084,5.33269,-7.5271344,0.21407752,-0.7635858,-31.72416,-23.482756,-19.620293,-19.985405,-17.694513,-17.57482,-19.636467,-18.117832,-16.51315,-18.57068,6072.816611842105,2588.657903794751,0.113297425,0.6699244,0.5863093,0.4815621,0.43425408,0.4594428,10.821064,1
-350.38165,44.81845,-27.30068,-8.309473,-6.955239,12.610638,4.544565,25.529007,1.5276763,6.0513873,-11.989771,-0.22299522,-1.4528706,-22.277025,-15.823512,-15.495549,-18.26185,-17.807674,-17.981285,-18.107304,-16.688175,-15.74284,-15.519362,6801.545538651316,2709.0318679128422,0.14965904,0.71663254,0.54918486,0.500625,0.46686342,0.45958227,10.225242,1
-425.41138,32.401943,-18.019348,-4.5671515,-5.7413344,12.646289,1.9728335,18.217957,3.8099566,4.9801483,-10.388506,-0.2933598,-1.2584107,-31.620903,-26.223278,-25.119827,-27.185495,-27.334118,-26.296335,-24.730652,-22.00018,-20.54049,-19.341618,6100.5831106085525,2389.3294739735284,0.2754896,0.6260711,0.5247669,0.40381145,0.3849572,0.3970362,7.219881,1
-313.38272,41.329,-36.30739,-16.926874,-9.984989,16.817492,6.8637543,27.772022,5.5926642,10.029581,-7.8154,2.8543081,-2.110605,-26.131483,-17.952513,-15.958282,-17.886671,-17.359808,-16.870987,-13.578555,-10.67392,-12.066921,-10.68153,6876.571751644737,2727.1590732415466,0.11718223,0.6951573,0.5753622,0.54166836,0.47930014,0.45350856,18.566711,1
-390.69067,42.316547,-24.475056,-10.681574,-10.329789,10.562415,6.1256657,23.16547,4.4561114,5.8865294,-7.148945,0.8918054,-1.7445322,-26.129625,-19.827135,-19.951378,-21.529408,-21.050282,-22.197693,-21.064571,-18.692198,-19.604416,-16.747576,6300.8418996710525,2535.268884409167,0.19963369,0.671753,0.5009412,0.38268358,0.36906344,0.35897803,9.128421,1
-357.67175,65.05071,-32.104874,-12.45768,-7.5809197,13.591745,5.9165626,13.965051,3.1874225,6.630365,-7.4137597,3.167684,-1.3950666,-35.048717,-29.059317,-24.961039,-24.346437,-22.55317,-20.095654,-12.713059,-9.698029,-14.850187,-18.819038,5834.8180509868425,2538.9446180076334,0.09329084,0.6335247,0.62553674,0.53453624,0.4284054,0.33565602,23.596378,1
-331.28436,45.94019,-26.835989,-11.232947,-12.09903,11.830664,6.065676,23.189116,2.359137,5.331304,-6.0282507,0.7346854,-1.9601113,-23.681187,-16.487331,-16.390718,-20.343935,-18.622694,-15.144298,-12.576471,-12.2152605,-15.548823,-15.487746,6742.499229029605,2707.111800716462,0.14360787,0.7203207,0.5303826,0.44637483,0.45558771,0.44038805,14.607887,1
-341.7919,32.768288,-34.23468,-19.128849,-8.150601,13.66152,3.554701,22.688122,6.294354,5.547743,-10.4870205,4.3275824,-6.025977,-38.5981,-32.435833,-28.230371,-27.35637,-25.522285,-18.181923,-17.277925,-16.483923,-16.492912,-18.414494,6433.554430509868,2507.3251264015335,0.22813982,0.6275116,0.53571534,0.36874208,0.30427757,0.28974283,24.880733,1
-341.78464,71.26662,-23.09128,-0.58888894,-3.1500118,16.390427,5.359396,22.336582,5.048823,3.9362128,-7.089923,4.0666823,-1.819163,-36.963192,-27.75754,-24.5091,-17.663912,-12.294781,-9.004935,-9.156025,-8.76443,-6.877312,-2.5900433,5707.998817845395,2485.434604163581,0.09503433,0.70587176,0.56467825,0.3992208,0.31327775,0.3077975,15.746045,1
-358.5057,60.017773,-29.598745,-16.464016,-3.9022696,12.353783,5.5151496,18.340609,0.25422758,5.116927,-9.473669,2.215451,-1.4826943,-36.359505,-29.457941,-25.21761,-24.049923,-20.524992,-18.13436,-18.064861,-13.106612,-11.601003,-14.564556,6089.3631784539475,2614.277751029823,0.09462062,0.69985044,0.59254575,0.42286935,0.39958155,0.39260185,24.32444,1
-286.4704,29.23088,-38.974335,-19.507933,-8.303616,10.9493265,2.5879161,27.16134,4.912696,8.179013,-11.763613,0.12906156,-2.6883469,-35.564804,-27.462814,-23.480045,-23.165216,-20.700548,-17.607485,-10.828585,-7.136992,-11.744678,-13.884828,7254.649465460527,2788.1438522031226,0.13660637,0.75557184,0.5235031,0.3363375,0.3079492,0.29946798,37.77106,1
-337.20575,19.688358,-29.54117,-10.162254,-19.71737,6.675672,12.4446535,20.091412,2.2139492,9.68018,-10.281508,-0.41650936,-3.9502442,-37.115105,-27.811937,-24.392738,-24.292597,-24.992662,-23.477087,-21.060974,-17.633736,-18.965841,-18.193502,6864.78515625,2551.5294519435197,0.2415552,0.64684427,0.48150384,0.35373008,0.32581198,0.30055135,17.258633,1
-405.08035,57.59192,-16.33255,3.2282033,-8.248103,8.014254,9.954205,12.91775,-1.1301662,4.600905,-10.200881,1.9944333,-3.7492464,-36.875347,-29.66051,-25.95565,-27.047705,-21.841507,-18.449005,-18.167522,-16.683952,-17.860472,-19.842216,6266.8421052631575,2640.8151032853257,0.1257388,0.7563572,0.624952,0.4991782,0.4319008,0.38550442,13.421383,1
-269.0903,11.414047,-41.817772,19.462801,-39.788956,7.5680056,-17.616724,21.362684,-7.572785,15.126716,-26.396084,9.235088,-7.3578305,-22.520544,-24.787981,-38.55177,-34.722748,-32.272106,-26.46625,-22.589302,-18.91475,-17.95228,-18.1727,6141.26953125,2049.9588064605605,0.1790998,0.6829723,0.4884138,0.34983176,0.24157906,0.21874306,62.806667,2
-258.8279,34.484978,-36.45846,23.652445,-34.385952,11.923272,-14.993189,22.115595,-6.025696,17.588614,-27.51695,12.064593,-9.738596,-16.329659,-19.905375,-35.890717,-32.373505,-27.389292,-21.110472,-15.073165,-11.840864,-11.02158,-10.437135,6432.1944387335525,2314.5347896421954,0.06851512,0.7323069,0.5393341,0.34602776,0.2993469,0.29181018,56.254326,2
-341.36816,21.844051,-32.55922,18.704697,-33.67926,10.085356,-11.640119,18.00657,-3.2607062,11.920921,-23.71332,9.156892,-4.423051,-25.56952,-27.685785,-40.092255,-37.19835,-33.370037,-27.09463,-21.808298,-18.422073,-19.878338,-21.840858,5360.2942537006575,1873.9739514678342,0.2424448,0.57455397,0.45453274,0.29972395,0.19487712,0.1801007,48.20136,2
-278.37704,14.732458,-36.775608,20.411129,-38.325542,8.562381,-13.68514,18.449251,-6.1931834,14.23803,-25.629992,10.014599,-5.1615663,-21.613087,-23.862303,-37.11865,-34.680386,-31.325048,-25.077372,-20.417866,-16.282614,-17.132315,-18.59975,6032.583521792763,2029.458709573231,0.17606856,0.565927,0.48703882,0.38105077,0.24531162,0.21837597,68.26353,2
-278.72073,22.498854,-35.25189,17.883276,-40.343792,10.887085,-10.509591,18.486513,-5.2214227,14.274584,-25.775843,9.938786,-5.4166336,-20.556894,-22.73174,-35.418438,-33.455997,-30.037235,-23.45394,-19.70573,-15.536966,-15.640285,-17.289694,5894.997687088816,2041.429268711652,0.16659364,0.62662154,0.50541055,0.41830695,0.25525084,0.20586911,72.325134,2
-296.90616,18.25824,-41.64252,19.633066,-37.150333,10.984609,-12.874087,19.99302,-6.1051965,14.673016,-25.088255,8.908538,-7.052954,-22.960976,-24.892416,-37.83037,-34.895245,-32.210243,-26.725008,-21.106424,-17.641148,-18.22186,-19.233263,5926.6174958881575,2032.7658728867543,0.17049412,0.5676327,0.44911042,0.37531087,0.24244112,0.22083497,58.301685,2
-263.79813,30.60942,-38.433846,22.799746,-35.50317,9.605544,-17.29485,17.985025,-7.859232,14.244023,-24.331203,7.674422,-8.459666,-18.996836,-21.588558,-36.6458,-33.232788,-30.764673,-23.157972,-18.310549,-13.424599,-13.044072,-14.061811,6129.482935855263,2212.7324488912227,0.10540149,0.67340845,0.5823898,0.41853982,0.30109134,0.29034647,59.420235,2
